backers_count,usd_pledged,duration,staff_pick,state,start_backers_count,category_pos,usd_goal,start_usd_pledged_amount,completed_time,AT,AU,BE,CA,CH,DE,DK,ES,FR,GB,HK,IE,IT,JP,LU,MX,NL,NO,NZ,SE,SG,US,art,comics,crafts,dance,design,fashion,film & video,food,games,journalism,music,photography,publishing,technology,theater,launched_month
53,4111.0,1861487,0,1,35.0,5,4000.0,3145.0,0.4314222984098197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,4111.0,1861487,0,1,35.0,5,4000.0,3145.0,0.4314222984098197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,2461.0,2592000,0,1,30.0,5,1500.0,2131.0,0.22867206790123454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,2461.0,2592000,0,1,30.0,5,1500.0,2131.0,0.22867206790123454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,4885.772196399998,2001194,1,1,0.0,5,4166.0816,0.0,0.08257770111243587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,4885.772196399998,2001194,1,1,0.0,5,4166.0816,0.0,0.08257770111243587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,865.3668295,2592000,0,1,9.0,4,417.763297,156.36283402,0.009709104938271604,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,865.3668295,2592000,0,1,9.0,4,417.763297,156.36283402,0.009709104938271604,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,1621.60484578,2592000,0,1,6.0,4,404.726667,201.01424461,-0.021496141975308643,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,1621.60484578,2592000,0,1,6.0,4,404.726667,201.01424461,-0.021496141975308643,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,1331.0,2592000,0,1,7.0,4,1000.0,230.0,-0.025183641975308643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,1331.0,2592000,0,1,7.0,4,1000.0,230.0,-0.025183641975308643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,319.629717,1209600,0,1,12.0,4,161.42915,341.42265225,0.43727595899470895,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,319.629717,1209600,0,1,12.0,4,161.42915,341.42265225,0.43727595899470895,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,319.629717,1209600,0,1,12.0,4,161.42915,341.42265225,0.43727595899470895,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,2991.0,2592000,0,1,43.0,4,900.0,1019.0,0.17472376543209878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,2991.0,2592000,0,1,43.0,4,900.0,1019.0,0.17472376543209878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,285.984734,2592000,0,1,2.0,4,241.67723999999998,201.3977,0.12788888888888889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,285.984734,2592000,0,1,2.0,4,241.67723999999998,201.3977,0.12788888888888889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,959.35952112,3197071,0,1,10.0,4,787.0276127999999,392.15686224,0.08892358036465252,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,959.35952112,3197071,0,1,10.0,4,787.0276127999999,392.15686224,0.08892358036465252,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,918.0,864000,0,1,21.0,4,500.0,768.0,0.3171585648148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,918.0,864000,0,1,21.0,4,500.0,768.0,0.3171585648148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,3969.62352481,2592000,0,1,52.0,4,1202.5518100000004,1564.51990481,0.08470987654320987,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
126,3969.62352481,2592000,0,1,52.0,4,1202.5518100000004,1564.51990481,0.08470987654320987,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,1761.24400074,2592000,0,1,31.0,4,1489.921461,1129.2036336,0.08402353395061729,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,1761.24400074,2592000,0,1,30.0,4,1489.921461,1105.6785579000002,0.08402353395061729,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
578,34849.70843994,2592000,1,1,118.0,4,10819.330179999999,8928.04667152,0.07887307098765432,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
578,34849.70843994,2592000,1,1,118.0,4,10819.330179999999,8928.04667152,0.07887307098765432,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
192,5742.0,2592000,0,1,83.0,4,750.0,3239.0,0.06922029320987655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
192,5742.0,2592000,0,1,83.0,4,750.0,3239.0,0.06922029320987655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,610.0,2592000,0,1,6.0,4,600.0,104.0,0.03937538580246914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,610.0,2592000,0,1,6.0,4,600.0,104.0,0.03937538580246914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,418.0468389,2592000,0,1,1.0,4,255.68614,40.9097824,0.02961226851851852,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,418.0468389,2592000,0,1,1.0,4,255.68614,40.9097824,0.02961226851851852,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,1046.0,2592000,0,1,8.0,4,968.0,315.0,0.028096064814814813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,1046.0,2592000,0,1,8.0,4,968.0,315.0,0.028096064814814813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
